"Moscow" (55.7558, 37.6178) 17125000
"Podolsk" (55.4297, 37.5444) 299660
"Murmansk" (68.9667, 33.0833) 298096
"Groznyy" (43.3125, 45.6986) 291687
"Tambov" (52.7167, 41.4333) 290365
"Sterlitamak" (53.6333, 55.9500) 280233
"Petrozavodsk" (61.7833, 34.3500) 278551
"Nizhnevartovsk" (60.9389, 76.5950) 277668
"Kostroma" (57.7667, 40.9333) 277648
"Novorossiysk" (44.7167, 37.7667) 270774
"Yoshkar-Ola" (56.6328, 47.8958) 266675
"Nalchik" (43.4833, 43.6167) 265162
"Engels" (51.4667, 46.1167) 264990
"Taganrog" (47.2333, 38.9000) 250287
"Komsomol’sk-na-Amure" (50.5500, 137.0000) 249810
"Syktyvkar" (61.6667, 50.8167) 245313
"Khimki" (55.8892, 37.4450) 244668
"Nizhnekamsk" (55.6333, 51.8167) 237250
"Shakhty" (47.7000, 40.2333) 235492
"Dzerzhinsk" (56.2333, 43.4500) 231797
"Bratsk" (56.1667, 101.6167) 231602
"Orsk" (51.2000, 58.6167) 230414
"Noginsk" (64.4833, 91.2333) 229731
"Angarsk" (52.5667, 103.9167) 226374
"Kolpino" (59.7300, 30.6500) 225801
"Blagoveshchensk" (50.2578, 127.5364) 224419
"Staryy Oskol" (51.2981, 37.8350) 223360
"Velikiy Novgorod" (58.5210, 31.2758) 222594
"Korolëv" (55.9167, 37.8167) 221797
"Pskov" (57.8167, 28.3333) 209840
"Mytishchi" (55.9167, 37.7333) 205397
"Biysk" (52.5167, 85.1667) 203108
"Lyubertsy" (55.6814, 37.8939) 197705
"Prokopyevsk" (53.8833, 86.7167) 196406
"Yuzhno-Sakhalinsk" (46.9500, 142.7333) 194882
"Balakovo" (52.0390, 47.7839) 191260
"Armavir" (45.0000, 41.1167) 190709
"Rybinsk" (58.0500, 38.8333) 190429
"Severodvinsk" (64.5667, 39.8500) 183996
"Abakan" (53.7167, 91.4167) 181709
"Petropavlovsk-Kamchatskiy" (53.0167, 158.6500) 181216
"Norilsk" (69.3333, 88.2167) 177428
"Syzran" (53.1667, 48.4667) 173260
"Krasnogorsk" (55.8167, 37.3333) 171793
"Volgodonsk" (47.5167, 42.1500) 171471
"Ussuriysk" (43.8000, 131.9500) 170660
"Kamensk-Ural’skiy" (56.4000, 61.9333) 169929
"Novocherkassk" (47.4222, 40.0939) 168766
"Zlatoust" (55.1667, 59.6667) 167978
"Elektrostal" (55.8000, 38.4500) 158508
"Almetyevsk" (54.9000, 52.3000) 154262
"Salavat" (53.3667, 55.9333) 153181
"Miass" (55.0500, 60.1000) 151856
"Nakhodka" (42.8167, 132.8833) 151420
"Orekhovo-Borisovo Yuzhnoye" (55.6029, 37.7328) 147713
"Kopeysk" (55.1000, 61.6167) 147573
"Odintsovo" (55.6733, 37.2733) 146574
"Pyatigorsk" (44.0333, 43.0500) 145836
"Rubtsovsk" (51.5167, 81.2000) 145333
"Berezniki" (59.4167, 56.7833) 145115
"Kolomna" (55.0833, 38.7833) 144125
"Maykop" (44.6000, 40.0833) 141970
"Khasavyurt" (43.2500, 46.5833) 141259
"Kovrov" (56.3606, 41.3197) 138552
"Kislovodsk" (43.9100, 42.7200) 128779
"Domodedovo" (55.4333, 37.7500) 127850
"Nefteyugansk" (61.1000, 72.6000) 127255
"Neftekamsk" (56.0833, 54.2500) 126805
"Bataysk" (47.1333, 39.7500) 126769
"Novocheboksarsk" (56.1167, 47.5000) 126626
"Serpukhov" (54.9167, 37.4000) 125817
"Novomoskovsk" (54.0333, 38.2667) 125647
"Shchelkovo" (55.9167, 38.0000) 125634
"Pervouralsk" (56.9167, 59.9500) 124447
"Kaspiysk" (42.8833, 47.6333) 123988
"Derbent" (42.0692, 48.2958) 123720
"Cherkessk" (44.2222, 42.0575) 122395
"Orekhovo-Zuyevo" (55.8000, 38.9667) 118822
"Nazran" (43.2167, 44.7667) 117936
"Nevinnomyssk" (44.6333, 41.9333) 117446
"Ramenskoye" (55.5669, 38.2303) 116077
"Dimitrovgrad" (54.2333, 49.5833) 116055
"Kyzyl" (51.7167, 94.4500) 116015
"Obninsk" (55.1000, 36.6167) 115029
"Oktyabr’skiy" (54.4833, 53.4833) 113929
"Novyy Urengoy" (66.0847, 76.6789) 113254
"Kamyshin" (50.0833, 45.4000) 111100
"Murom" (55.5725, 42.0514) 109072
"Dolgoprudnyy" (55.9333, 37.5000) 108861
"Yessentuki" (44.0431, 42.8644) 108679
"Novoshakhtinsk" (47.7667, 39.9167) 108345
"Zhukovskiy" (55.6011, 38.1161) 107994
"Seversk" (56.6000, 84.8500) 107922
"Reutov" (55.7667, 37.8667) 106990
"Noyabrsk" (63.2017, 75.4517) 106879
"Artëm" (43.3500, 132.1833) 106692
"Pushkino" (56.0167, 37.8500) 105479
"Achinsk" (56.2817, 90.5039) 105264
"Sergiyev Posad" (56.3000, 38.1333) 104579
"Arzamas" (55.3833, 43.8000) 104547
"Yelets" (52.6167, 38.4667) 104349
"Berdsk" (54.7500, 83.1000) 103578
"Elista" (46.3167, 44.2667) 103132
"Noginsk" (55.8500, 38.4333) 102592
"Novokuybyshevsk" (53.1000, 49.9167) 102075
"Zheleznogorsk" (52.3333, 35.3667) 100740
"Zelënodol’sk" (55.8500, 48.5167) 99491
"Tobolsk" (58.1953, 68.2581) 98886
"Khanty-Mansiysk" (61.0000, 69.0000) 98692
"Sarapul" (56.4667, 53.8000) 97910
"Serov" (59.6000, 60.5667) 97762
"Votkinsk" (57.0500, 54.0000) 97550
"Ukhta" (63.5667, 53.7000) 97087
"Mezhdurechensk" (53.6864, 88.0703) 96299
"Leninsk-Kuznetskiy" (54.6500, 86.1667) 96139
"Sarov" (54.9333, 43.3167) 95388
"Solikamsk" (59.6333, 56.7667) 94628
"Gatchina" (59.5667, 30.1333) 94447
"Mikhaylovsk" (45.1283, 42.0256) 93658
"Voskresensk" (55.3167, 38.6833) 93565
"Michurinsk" (52.8922, 40.4928) 93330
"Glazov" (58.1333, 52.6500) 93056
"Magadan" (59.5667, 150.8000) 92782
"Velikiye Luki" (56.3500, 30.5167) 91435
"Kiselëvsk" (53.9833, 86.7000) 89867
"Kansk" (56.2000, 95.7000) 89508
"Kamensk-Shakhtinskiy" (48.3167, 40.2667) 88997
"Lobnya" (56.0167, 37.4833) 88220
"Gubkin" (51.2833, 37.5500) 86780
"Novotroitsk" (51.2009, 58.2983) 86474
"Buzuluk" (52.7667, 52.2667) 86316
"Shchëkino" (54.0143, 37.5143) 86088
"Bugulma" (54.5333, 52.7833) 86085
"Yeysk" (46.7106, 38.2778) 85760
"Dmitrov" (56.3500, 37.5333) 84408
"Kineshma" (57.4500, 42.1500) 83871
"Zheleznogorsk" (56.2500, 93.5333) 83857
"Chaykovskiy" (56.7667, 54.1167) 83077
"Kuznetsk" (53.1167, 46.6000) 82276
"Ust’-Ilimsk" (58.0000, 102.6667) 81976
"Yurga" (55.7333, 84.9000) 81759
"Anapa" (44.8944, 37.3167) 81447
"Novouralsk" (57.2500, 60.0833) 81202
"Azov" (47.1000, 39.4167) 80721
"Klin" (56.3339, 36.7125) 79387
"Ivanteyevka" (55.9700, 37.9200) 79346
"Ozërsk" (55.7556, 60.7028) 79265
"Vyborg" (60.7092, 28.7442) 78457
"Kropotkin" (45.4333, 40.5667) 78149
"Bor" (56.3603, 44.0592) 78063
"Usol’ye-Sibirskoye" (52.7500, 103.6500) 77407
"Gelendzhik" (44.5608, 38.0767) 77212
"Balashov" (51.5500, 43.1667) 76776
"Anzhero-Sudzhensk" (56.0833, 86.0333) 76217
"Chernogorsk" (53.8167, 91.2833) 75419
"Shadrinsk" (56.0833, 63.6333) 75348
"Dubna" (56.7500, 37.1500) 75144
"Mineral’nyye Vody" (44.2008, 43.1125) 74141
"Yelabuga" (55.7667, 52.0333) 74031
"Troitsk" (54.0833, 61.5667) 73911
"Yegoryevsk" (55.3667, 39.0167) 73766
"Birobidzhan" (48.7833, 132.9333) 73623
"Novoaltaysk" (53.4000, 83.9333) 73439
"Vsevolozhsk" (60.0160, 30.6663) 72864
"Chapayevsk" (52.9833, 49.7167) 72778
"Belovo" (54.4167, 86.3000) 72519
"Kirovo-Chepetsk" (58.5500, 50.0167) 72071
"Verkhnyaya Pyshma" (56.9667, 60.5833) 71241
"Chekhov" (55.1481, 37.4769) 70548
"Tuymazy" (54.6000, 53.7000) 68256
"Sosnovyy Bor" (59.9000, 29.1000) 68013
"Minusinsk" (53.7000, 91.6833) 68007
"Kstovo" (56.1517, 44.1956) 67874
"Oktyabrskiy" (52.6636, 156.2387) 67386
"Georgiyevsk" (44.1500, 43.4667) 67054
"Stupino" (54.8869, 38.0772) 66341
"Slavyansk-na-Kubani" (45.2586, 38.1247) 66285
"Belogorsk" (50.9167, 128.4833) 66183
"Vidnoye" (55.5500, 37.7000) 66158
"Beloretsk" (53.9667, 58.4000) 65477
"Pavlovskiy Posad" (55.7833, 38.6500) 65432
"Ishimbay" (53.4500, 56.0333) 65422
"Kungur" (57.4333, 56.9333) 65284
"Zarechnyy" (53.2000, 45.1667) 65156
"Ishim" (56.1167, 69.5000) 65142
"Buynaksk" (42.8167, 47.1167) 65080
"Gukovo" (48.0500, 39.9333) 64869
"Asbest" (57.0000, 61.4667) 64091
"Donskoy" (53.9667, 38.3167) 63631
"Gorno-Altaysk" (51.9600, 85.9600) 63214
"Volsk" (52.0500, 47.3833) 63212
"Novaya Balakhna" (56.4943, 43.5944) 63083
"Klintsy" (52.7528, 32.2361) 62936
"Rossosh" (50.1983, 39.5672) 62827
"Revda" (56.8000, 59.9167) 62687
"Borisoglebsk" (51.3667, 42.0833) 62669
"Leninogorsk" (54.5989, 52.4423) 62531
"Budënnovsk" (44.7833, 44.1500) 62495
"Tuapse" (44.1000, 39.0833) 62269
"Zelenogorsk" (56.1000, 94.5833) 62245
"Chistopol" (55.3648, 50.6407) 62200
"Naro-Fominsk" (55.3833, 36.7333) 62002
"Polevskoy" (56.4500, 60.1833) 61853
"Kotlas" (61.2500, 46.6500) 61805
"Lysva" (58.1004, 57.8043) 61752
"Sibay" (52.7000, 58.6500) 61266
"Fryazino" (55.9500, 38.0500) 60437
"Sayanogorsk" (53.1000, 91.4000) 60317
"Belebey" (54.1000, 54.1333) 60188
"Kumertau" (52.7667, 55.7833) 60164
"Labinsk" (44.6333, 40.7333) 60164
"Urus-Martan" (43.1224, 45.5366) 59954
"Lesosibirsk" (58.2333, 92.4833) 59525
"Rzhev" (56.2656, 34.3276) 59422
"Aleksandrov" (56.3936, 38.7150) 59328
"Izberbash" (42.5667, 47.8667) 58690
"Lytkarino" (55.5833, 37.8833) 58606
"Nyagan" (62.1333, 65.3833) 58335
"Tikhvin" (59.6333, 33.5000) 58136
"Shuya" (56.8500, 41.3667) 58114
"Meleuz" (52.9647, 55.9328) 58004
"Aleksin" (54.5000, 37.0667) 57892
"Berëzovskiy" (56.9000, 60.8000) 57892
"Prokhladnyy" (43.7575, 44.0297) 57883
"Mikhaylovka" (50.0667, 43.2333) 57829
"Tikhoretsk" (45.8500, 40.1167) 57771
"Pavlovo" (55.9619, 43.0900) 57630
"Salsk" (46.4833, 41.5333) 57622
"Krasnotur’insk" (59.7733, 60.1853) 57514
"Krymsk" (44.9333, 38.0000) 57229
"Neryungri" (56.6583, 124.7250) 57009
"Iskitim" (54.6333, 83.3000) 56602
"Klimovsk" (55.3667, 37.5333) 56239
"Shali" (43.1500, 45.9000) 56226
"Vorkuta" (67.5000, 64.0333) 56088
"Apatity" (67.5675, 33.3933) 55713
"Dzerzhinskiy" (55.6333, 37.8500) 55669
"Gus’-Khrustal’nyy" (55.6167, 40.6500) 54533
"Volzhsk" (55.8667, 48.3500) 54519
"Sertolovo" (60.1417, 30.2119) 54497
"Liski" (50.9822, 39.4994) 53897
"Svobodnyy" (51.3833, 128.1333) 53678
"Krasnokamsk" (58.0833, 55.7500) 53631
"Zhigulevsk" (53.4000, 49.5000) 53407
"Vyksa" (55.3194, 42.1731) 53219
"Gudermes" (43.3500, 46.1000) 52908
"Krasnokamensk" (50.1000, 118.0333) 52811
"Vyazma" (55.2103, 34.2850) 52506
"Arsenyev" (44.1667, 133.2667) 52471
"Belorechensk" (44.7667, 39.8667) 52082
"Timashevsk" (45.6167, 38.9333) 51925
"Solnechnogorsk" (56.1844, 36.9950) 51612
"Uzlovaya" (53.9791, 38.1601) 51358
"Severomorsk" (69.0692, 33.4167) 51209
"Snezhinsk" (56.0833, 60.7333) 51048
"Kirishi" (59.4500, 32.0167) 50885
"Cheremkhovo" (53.1500, 103.0667) 50819
"Nazarovo" (56.0064, 90.3914) 50397
"Moskovskiy" (55.5991, 37.3550) 50167
"Borovichi" (58.4000, 33.9167) 50144
"Roslavl" (53.9492, 32.8569) 50112
"Novovyatsk" (58.5083, 49.6994) 49475
"Mozhga" (56.4500, 52.2167) 49328
"Kizlyar" (43.8500, 46.7167) 49247
"Buguruslan" (53.6167, 52.4167) 49245
"Lesnoy" (58.6333, 59.7833) 49056
"Salekhard" (66.5333, 66.6333) 48507
"Kurganinsk" (44.8833, 40.6000) 48439
"Shelekhov" (52.2000, 104.1000) 48098
"Kashira" (54.8333, 38.1500) 48016
"Donetsk" (48.3369, 39.9449) 47770
"Kingisepp" (59.3667, 28.6000) 47313
"Livny" (52.4253, 37.6083) 47221
"Otradnyy" (53.3667, 51.3500) 47180
"Vyshniy Volochëk" (57.5913, 34.5645) 46908
"Kotelniki" (55.6500, 37.8667) 46763
"Zarinsk" (53.7000, 84.9167) 46597
"Gryazi" (52.5000, 39.9333) 46492
"Berëzovskiy" (55.6667, 86.2500) 46215
"Megion" (61.0331, 76.1097) 46188
"Aksay" (47.2667, 39.8667) 46018
"Torzhok" (57.0333, 34.9667) 45641
"Kanash" (55.5167, 47.5000) 45482
"Ruzayevka" (54.0667, 44.9500) 45248
"Parma" (65.9230, 57.4030) 45000
"Nadym" (65.5333, 72.5167) 44940
"Volkhov" (59.9167, 32.3500) 44868
"Chusovoy" (58.2833, 57.8167) 44779
"Kimry" (56.8667, 37.3500) 44743
"Kamen’-na-Obi" (53.7919, 81.3486) 44564
"Kuybyshev" (55.4503, 78.3075) 44170
"Yartsevo" (55.0667, 32.6833) 44097
"Rasskazovo" (52.6667, 41.8833) 43758
"Birsk" (55.4167, 55.5333) 43572
"Kolchugino" (56.2992, 39.3831) 43089
"Shebekino" (50.4167, 36.9000) 42465
"Osinniki" (53.6167, 87.3333) 42454
"Safonovo" (55.1000, 33.2500) 42147
"Monchegorsk" (67.9394, 32.9156) 42099
"Korenovsk" (45.4667, 39.4500) 42019
"Satka" (55.0500, 59.0500) 41798
"Krasnoznamensk" (55.6000, 37.0333) 41769
"Mozdok" (43.7500, 44.6500) 41728
"Ust’-Kut" (56.8000, 105.8333) 41689
"Tulun" (54.5667, 100.5667) 41640
"Gay" (51.4747, 58.4543) 41619
"Strezhevoy" (60.7333, 77.5833) 41541
"Verkhnyaya Salda" (58.0500, 60.5500) 41484
"Karabulak" (43.3000, 44.9000) 41469
"Myski" (53.7000, 87.8167) 41379
"Temryuk" (45.2667, 37.3833) 41133
"Spassk-Dal’niy" (44.6000, 132.8167) 41127
"Pyt’-Yakh" (60.7500, 72.7833) 41005
"Pechora" (65.1442, 57.2197) 40653
"Uray" (60.1333, 64.7833) 40559
"Sovetsk" (55.0833, 21.8833) 40486
"Chebarkul" (54.9778, 60.3700) 40378
"Zainsk" (55.3000, 52.0167) 40366
"Belaya Kalitva" (48.1667, 40.7833) 40275
"Tutayev" (57.8833, 39.5333) 40154
"Amursk" (50.2167, 136.9000) 40106
"Yalutorovsk" (56.6500, 66.3000) 39967
"Apsheronsk" (44.4608, 39.7406) 39762
"Novozybkov" (52.5333, 31.9333) 39725
"Morshansk" (53.4500, 41.8000) 39362
"Yelizovo" (53.1833, 158.3833) 39216
"Pereslavl’-Zalesskiy" (56.7381, 38.8562) 39105
"Rtishchevo" (52.2500, 43.7833) 39005
"Kachkanar" (58.7000, 59.4833) 38996
"Sayansk" (54.1167, 102.1667) 38968
"Mariinsk" (56.2167, 87.7500) 38637
"Abinsk" (44.8667, 38.1667) 38547
"Konakovo" (56.7129, 36.7783) 38486
"Baksan" (43.6833, 43.5333) 38474
"Novodvinsk" (64.4167, 40.8167) 38434
"Krasnoufimsk" (56.6167, 57.7667) 38395
"Usinsk" (65.9998, 57.5414) 38376
"Mtsensk" (53.2833, 36.5667) 38350
"Kurchatov" (51.6667, 35.6500) 38344
"Alekseyevka" (50.6333, 38.6833) 38329
"Krasnyy Sulin" (47.8833, 40.0667) 38284
"Lyudinovo" (53.8667, 34.4667) 38267
"Zavolzhye" (56.6425, 43.3928) 38230
"Izobil’nyy" (45.3667, 41.7167) 38100
"Bol’shoy Kamen’" (43.1167, 132.3500) 38042
"Akhtubinsk" (48.2833, 46.1667) 37883
"Yuzhnouralsk" (54.4500, 61.2500) 37728
"Uchaly" (54.3167, 59.3833) 37710
"Uryupinsk" (50.8000, 42.0167) 37620
"Alapayevsk" (57.8500, 61.7000) 37526
"Dalnegorsk" (44.5539, 135.5661) 37519
"Tosno" (59.5400, 30.8775) 37509
"Goryachiy Klyuch" (44.6308, 39.1300) 37475
"Malgobek" (43.5167, 44.5833) 37442
"Yugorsk" (61.3167, 63.3500) 37422
"Argun" (43.3000, 45.8667) 37373
"Kizilyurt" (43.2000, 46.8667) 37171
"Rezh" (57.3667, 61.4000) 37152
"Sharypovo" (55.5250, 89.2000) 37136
"Partizansk" (43.1333, 133.1333) 37059
"Lesozavodsk" (45.4667, 133.4000) 37034
"Beslan" (43.1833, 44.5333) 37029
"Kyshtym" (55.7139, 60.5528) 36997
"Frolovo" (49.7714, 43.6622) 36951
"Sokol" (59.4667, 40.1167) 36924
"Irbit" (57.6667, 63.0667) 36668
"Koryazhma" (61.3000, 47.1667) 36607
"Boyarka" (70.7670, 97.5000) 35968
"Kamenka" (53.1833, 44.0500) 35929
"Chernyakhovsk" (54.6333, 21.8167) 35888
"Vyazniki" (56.2433, 42.1292) 35865
"Protvino" (54.8667, 37.2167) 35807
"Svetlograd" (45.3308, 42.8511) 35745
"Kinel" (53.2333, 50.6167) 35675
"Millerovo" (48.9167, 40.4000) 35384
"Luga" (58.7333, 29.8500) 35262
"Mirnyy" (62.5333, 113.9500) 35223
"Yefremov" (53.1492, 38.0826) 35168
"Blagoveshchensk" (55.0333, 55.9833) 35008
"Aznakayevo" (54.8500, 53.0667) 34896
"Zelenokumsk" (44.4000, 43.8670) 34690
"Korkino" (54.8833, 61.4000) 34672
"Vichuga" (57.2000, 41.9167) 34394
"Bogorodsk" (56.0997, 43.5072) 34240
"Gulkevichi" (45.3603, 40.6945) 34215
"Valuyki" (50.1833, 38.1167) 34193
"Nizhneudinsk" (54.9000, 99.0167) 33918
"Furmanov" (57.2500, 41.1000) 33905
"Sukhoy Log" (56.9167, 62.0500) 33689
"Korsakov" (46.6333, 142.7667) 33645
"Tayshet" (55.9333, 98.0167) 33364
"Tavda" (58.0500, 65.2667) 33356
"Baltiysk" (54.6500, 19.9167) 33317
"Shatura" (55.5667, 39.5333) 33222
"Tynda" (55.1500, 124.7167) 33061
"Chernushka" (56.5000, 56.0833) 32952
"Slobodskoy" (58.7242, 50.1612) 32793
"Trëkhgornyy" (54.8000, 58.4500) 32715
"Nurlat" (54.4333, 50.8000) 32703
"Dobryanka" (58.4500, 56.4167) 32676
"Ostrogozhsk" (50.8667, 39.0667) 32601
"Vyatskiye Polyany" (56.2184, 51.0686) 32562
"Kulebaki" (55.4167, 42.5167) 32518
"Teykovo" (56.8500, 40.5500) 32511
"Slantsy" (59.1167, 28.0833) 32508
"Primorsko-Akhtarsk" (46.0500, 38.1833) 32180
"Mirnyy" (62.7603, 40.3353) 32175
"Uglich" (57.5333, 38.3333) 32146
"Serdobsk" (52.4667, 44.2167) 32087
"Velikiy Ustyug" (60.7589, 46.3039) 31806
"Novovoronezh" (51.3167, 39.2167) 31503
"Marks" (51.7000, 46.7500) 31488
"Kudymkar" (59.0167, 54.6667) 31370
"Kandalaksha" (67.1569, 32.4117) 31329
"Bogoroditsk" (53.7667, 38.1333) 31139
"Zima" (53.9167, 102.0500) 30988
"Dyurtyuli" (55.4833, 54.8667) 30969
"Rostov" (57.1833, 39.4167) 30943
"Nartkala" (43.5500, 43.8500) 30832
"Artëmovskiy" (57.3667, 61.8667) 30778
"Blagodarnyy" (45.1029, 43.4252) 30530
"Kirov" (54.0833, 34.3000) 30520
"Kokhma" (56.9333, 41.0833) 30500
"Ust’-Dzheguta" (44.0928, 41.9822) 30369
"Kondopoga" (62.2000, 34.2667) 30299
"Kasimov" (54.9583, 41.3972) 30243
"Mozhaysk" (55.5000, 36.0333) 30190
"Gorodets" (56.6503, 43.4703) 30188
"Kotovsk" (52.5833, 41.5000) 29999
"Slavgorod" (53.0000, 78.6500) 29916
"Dedovsk" (55.8667, 37.1333) 29738
"Dagestanskiye Ogni" (42.1167, 48.2000) 29716
"Asha" (55.0000, 57.2500) 29692
"Shumerlya" (55.5000, 46.4167) 29553
"Kostomuksha" (64.5833, 30.6000) 29381
"Likino-Dulevo" (55.7000, 38.9500) 29376
"Bogdanovich" (56.7833, 62.0500) 29309
"Novaya Usman’" (51.6439, 39.4103) 29270
"Divnogorsk" (55.9500, 92.3833) 29246
"Ob" (54.9917, 82.7125) 29194
"Gubkinskiy" (64.4333, 76.5000) 29161
"Gagarin" (55.5500, 35.0000) 29041
"Staraya Russa" (57.9833, 31.3500) 29019
"Barabinsk" (55.3500, 78.3500) 28941
"Petrovsk" (52.3167, 45.3833) 28893
"Borzya" (50.3833, 116.5333) 28888
"Yemanzhelinsk" (54.7500, 61.3167) 28742
"Kartaly" (53.0500, 60.6500) 28607
"Aleysk" (52.5000, 82.7833) 28528
"Gusev" (54.5922, 22.1997) 28484
"Pokhvistnevo" (53.6500, 52.1333) 28177
"Udomlya" (57.8833, 35.0167) 28119
"Tara" (56.8753, 74.4136) 28099
"Kushva" (58.2833, 59.7333) 28060
"Kholmsk" (47.0403, 142.0431) 27954
"Topki" (55.2833, 85.6167) 27860
"Maloyaroslavets" (55.0000, 36.4667) 27791
"Desnogorsk" (54.1531, 33.2903) 27771
"Zarechnyy" (56.8167, 61.3167) 27617
"Sorochinsk" (52.4333, 53.1500) 27547
"Verkhniy Ufaley" (56.0500, 60.2333) 27498
"Kurchaloy" (43.2019, 46.0881) 27478
"Sol’-Iletsk" (51.1667, 54.9833) 27085
"Mayskiy" (43.6333, 44.0667) 27074
"Karpinsk" (59.7667, 60.0000) 26957
"Karasuk" (53.7333, 78.0333) 26902
"Dyatkovo" (53.6000, 34.3333) 26775
"Novoaleksandrovsk" (45.4933, 41.2183) 26761
"Semiluki" (51.6833, 39.0333) 26732
"Kirzhach" (56.1500, 38.8667) 26676
"Sosnogorsk" (63.5833, 53.9333) 26670
"Segezha" (63.7415, 34.3222) 26666
"Kirovsk" (67.6142, 33.6717) 26581
"Bolkhov" (53.4500, 36.0000) 26570
"Severouralsk" (60.1500, 59.9333) 26543
"Krasnoarmeysk" (56.1000, 38.1333) 26519
"Kamyshlov" (56.8500, 62.7167) 26444
"Oktyabrsk" (53.1667, 48.6667) 26438
"Kirovsk" (59.8667, 30.9833) 26387
"Dalnerechensk" (45.9333, 133.7333) 26378
"Labytnangi" (66.6500, 66.4000) 26281
"Polysayevo" (54.6000, 86.2833) 26212
"Novopavlovsk" (43.9636, 43.6394) 26106
"Zavodoukovsk" (56.5000, 66.5500) 26048
"Kimovsk" (53.9667, 38.5333) 25951
"Kireyevsk" (53.9333, 37.9333) 25741
"Otradnoye" (59.7833, 30.8167) 25623
"Balabanovo" (55.1833, 36.6500) 25608
"Yanaul" (56.2667, 54.9333) 25511
"Inta" (66.0398, 60.1315) 25444
"Losino-Petrovskiy" (55.8667, 38.2000) 25424
"Ozëry" (54.8500, 38.5500) 25359
"Kochubeyevskoye" (44.6706, 41.8380) 25279
"Mednogorsk" (51.4221, 57.5953) 25272
"Morozovsk" (48.3500, 41.8333) 25198
"Sasovo" (54.3500, 41.9167) 25177
"Sovetskaya Gavan’" (48.9667, 140.2833) 25147
"Atkarsk" (51.8667, 45.0000) 25140
"Pavlovsk" (50.4500, 40.0667) 24858
"Nar’yan-Mar" (67.6378, 53.0067) 24775
"Zheleznovodsk" (44.1333, 43.0333) 24768
"Zernograd" (46.8500, 40.3000) 24561
"Neftekumsk" (44.7506, 44.9797) 24472
"Semënov" (56.8000, 44.5000) 24400
"Stroitel" (50.7833, 36.4833) 24392
"Asino" (57.0000, 86.1500) 24354
"Rodniki" (57.1000, 41.7333) 24335
"Buturlinovka" (50.8250, 40.5889) 24319
